n2710db;とんでもスキルで異世界放浪メシ
n5864cn;おかしな転生
n3556o;Knight's & Magic
n1701bm;異世界食堂
n1578dx;魔王学院の不適合者　～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～
n0022gd;水属性の魔法使い
n7995ce;転生王女は今日も旗を叩き折る。
n0358dh;痛いのは嫌なので防御力に極振りしたいと思います。
n9677fw;落ちこぼれ国を出る〜実は世界で４人目の付与術師だった件について〜
n2415eg;そのおっさん、異世界で二周目プレイを満喫中
n7637dj;魔王様の街づくり！～最強のダンジョンは近代都市～
n2413ep;マジカル★エクスプローラー　エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる
n4836fm;難攻不落の魔王城へようこそ～デバフは不要と勇者パーティーを追い出された黒魔導士、魔王軍の最高幹部に迎えられる～【Web版】
n8443gv;五年間働いていた治療師ギルドを不当解雇された“最弱”な俺。生きるために超有能スキルで‟最強”を目指します
n8106fu;異世界のんびり素材採取生活
n1217et;【本編完結】信者ゼロの女神サマと始める異世界攻略
n9629ex;最弱テイマーはゴミ拾いの旅を始めました。
n8206dh;出遅れテイマーのその日ぐらし
n6829bd;賢者の弟子を名乗る賢者
n7945fn;Ｄジェネシス　ダンジョンができて３年（web版）
n3527ei;真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました
n5619fv;【アニメ化決定！！】転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～
n9105fz;黒鳶の聖者　〜追放された回復術士は、有り余る魔力で闇魔法を極める〜
n8440fe; お隣の天使様にいつの間にか駄目人間にされていた件
n0692es;悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。〜ラスボスチートと王女の権威で救える人は救いたい〜
n2276dz;異世界でスローライフを（願望）
n4764du;生き残り錬金術師は街で静かに暮らしたい
n6255fh;悪役令嬢、ブラコンにジョブチェンジします
n4698cv;転生したらドラゴンの卵だった～最強以外目指さねぇ～
n9525fd;反逆のソウルイーター　～弱者は不要といわれて剣聖（父）に追放されました～
n8920ex;ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～
n0637gi;万能「村づくり」チートでお手軽スローライフ　～村ですが何か？～
n7817ho;【二章完、コミカライズ連載中】無能才女は悪女になりたい～義妹の身代わりで嫁いだ令嬢、公爵様の溺愛に気づかない～（WEB版）
n5981bn;ニートだけどハロワにいったら異世界につれてかれた【コミック９巻５月８日発売！】
n3352gq;一瞬で治療していたのに、何もしてないとパーティを追放された天才治癒師～今さら戻ってこいと言われても、闇ヒーラーとして楽しくやっているので治療は高額になるけどおたくら払えますか？～
n1219gv;魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～
n3581fh;目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい
n8672gi;おい、外れスキルだと思われていた《チートコード操作》が化け物すぎるんだが。　〜実家を追放され、世間からも無能と蔑まれていたが、幼馴染の皇女からめちゃくちゃ溺愛されるうえにスローライフが楽しすぎる〜
n2907ga;悪役令嬢は溺愛ルートに入りました！？
n6755gk;【Web版】町人Aは悪役令嬢をどうしても救いたい【後日談のみ連載中】
n1443bp;異世界はスマートフォンとともに。
n4449cj;俺の死亡フラグが留まるところを知らない
n5490cq;絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで【コミカライズ８巻  1/25発売】
n7031bs;金色の文字使い　～勇者四人に巻き込まれたユニークチート～
n2142gb;追放されたお荷物テイマー、世界唯一のネクロマンサーに覚醒する　〜ありあまるその力で自由を謳歌していたらいつの間にか最強に〜
n8541cr;【完結済】異世界薬局（EP4）/【連載中】世界薬局（EP4.1）
n3039bm;誰かこの状況を説明してください
n7094fo;栽培チートで最強菜園　～え、ただの家庭菜園ですけど？～
n5529cy;老後に備えて異世界で８万枚の金貨を貯めます
n8810eu;勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う
n0955el;(´・ω・`)最強勇者はお払い箱→魔王になったらずっと俺の無双ターン
n2627t;黒の魔王
n1222ci;黒の召喚士　～戦闘狂の成り上がり～
n4006fe;歴史に残る悪女になるぞ
n9624gu;弱小領地の生存戦略！　～俺の領地が何度繰り返しても滅亡するんだけど。これ、どうしたら助かりますか？～
n5115cq;最果てのパラディン
n2421eu;転生幼女はあきらめない
n9185fm;禁断師弟でブレイクスルー～勇者の息子が魔王の弟子で何が悪い～
n7006cm;復讐を誓った白猫は竜王の膝の上で惰眠をむさぼる
n9078bd;この世界がゲームだと俺だけが知っている
n7648bn;マギクラフト・マイスター
n4979et;二度転生した少年はＳランク冒険者として平穏に過ごす　～前世が賢者で英雄だったボクは来世では地味に生きる～
n6088cy;ポーション頼みで生き延びます！
n2819ha;魔女と傭兵
n8459gk;特級探索師への覚醒　～蜥蜴の尻尾切りに遭った青年は、地獄の王と成り無双する～
n4750dy;ハンネローレの貴族院五年生
n2029gb;【書籍完結＆コミカライズ化】【本編・外伝完結済】剣聖の幼馴染がパワハラで俺につらく当たるので、絶縁して辺境で魔剣士として出直すことにした。（ＷＥＢ版）
n1406cr;駆除人
n3507ho;【コミカライズ】愛さないといわれましても～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる【書籍2巻発売中】
n2591gi;婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた
n7594ct;10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた
n9736gn;味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す
n6362fe;失格から始める成り上がり魔導師道！～呪文開発ときどき戦記～
n2273dh;勇者召喚に巻き込まれたけど、異世界は平和でした
n1321ez;実は俺、最強でした？
n6484fv;やり直し令嬢は竜帝陛下を攻略中
n3406ek;異世界で土地を買って農場を作ろう
n6682gf;悪役令嬢の中の人【書籍化・コミカライズ】
n5475dz;察知されない最強職《ルール・ブレイカー》
n7295fl;転生先で捨てられたので、もふもふ達とお料理します　　　～お飾り王妃はマイペースに最強です～
n5455cx;＜Infinite Dendrogram＞-インフィニット・デンドログラム-
n3406u;理想のヒモ生活
n8406bm;戦国小町苦労譚
n7619gq;S級ギルドを追放されたけど、実は俺だけドラゴンの言葉がわかるので、気付いたときには竜騎士の頂点を極めてました。
n4774dz;転生先が少女漫画の白豚令嬢だった
n8915bv;甘く優しい世界で生きるには
n1898i;ウォルテニア戦記【Web投稿版】
n5495gn;Ａランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。
n4128bn;奪う者　奪われる者
n9407fu;【書籍化】アルマーク   ～北の剣、南の杖～
n0350em;[Web版] 異世界転移、地雷付き。
n4202cb;用務員さんは勇者じゃありませんので
n2468ca;治癒魔法の間違った使い方～戦場を駆ける回復要員～
n1860fv;ずたぼろ令嬢は姉の元婚約者に溺愛される
n5657fv;転生したら第七王子だったので、気ままに魔術を極めます
n8725k;ログ・ホライズン
n7222ff;聖女じゃなかったので、王宮でのんびりご飯を作ることにしました
n4546fc;異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました
n7266fe;鍛冶屋ではじめる異世界スローライフ
n4214gk;エロゲ転生　運命に抗う金豚貴族の奮闘記
n0597gj;【コミックス３巻は６月９日発売】創造錬金術師は自由を謳歌する　-故郷を追放されたら、魔王のお膝元で超絶効果のマジックアイテム作り放題になりました-
n4218cw;新しいゲーム始めました。～使命もないのに最強です？～
n0826gy;【書籍化＆コミカライズ】創成魔法の再現者　～『魔法が使えない』と実家を追放された天才少年、魔女の弟子となり正しい方法で全ての魔法を極めます。貴方の魔法は、こうやって使うんですよ？～
n9773bj;異世界居酒屋「のぶ」
n9433gn;悪役令嬢の兄に転生しました
n3601eb;転生しまして、現在は侍女でございます。
n4344dy;世界最強の後衛　～迷宮国の新人探索者～
n2163n;宝くじで40億当たったんだけど異世界に移住する
n8703hn;天才魔術師を弟に持つと人生はこうなる
n4811fg;【コミカライズ連載開始】ＴＲＰＧプレイヤーが異世界で最強ビルドを目指す 　～ヘンダーソン氏の福音を～【書籍8巻　2023年4月25日発売】
n9460fv;逆行した悪役令嬢は、なぜか魔力を失ったので深窓の令嬢になります
n7864de;悪役令嬢は隣国の王太子に溺愛される
n0610eg;魔石グルメ　～魔物の力を食べたオレは最強！～（Web版）
n0223eu;異世界に落とされた…
n7940cn;没落予定なので、鍛治職人を目指す
n4527bc;Only Sense Online
n7657bb;かわいいコックさん
n5677cl;亡びの国の征服者～魔王は世界を征服するようです～
n3017gm;Ｓランク冒険者パーティーのサポート役をクビになった俺は、念願の錬金術師となりスローライフを送りたい
n0020by;針子の乙女
n1290ff;最強陰陽師の異世界転生記　～下僕の妖怪どもに比べてモンスターが弱すぎるんだが～
n7216dr;最強の鑑定士って誰のこと？～満腹ごはんで異世界生活～
n9530ey;白豚貴族だったどうしようもない私に前世の記憶が生えた件 (書籍：白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます)
n2049gr;【Web版】王太子に婚約破棄されたので、もうバカのふりはやめようと思います
n3751ht;【完結】追放された名家の長男　～馬鹿にされたハズレスキルで最強へと昇り詰める～
n0284ev;悪役令嬢レベル99～私は裏ボスですが魔王ではありません～
n7835cj;本好きの下剋上　SS置き場
n2494fq;不死者の弟子～邪神の不興を買って奈落に落とされた俺の英雄譚～
n2671do;魔王になったので、ダンジョン造って人外娘とほのぼのする
n6902el;地味で目立たない私は、今日で終わりにします。
n4647gh;おっさんはうぜぇぇぇんだよ！ってギルドから追放したくせに、後から復帰要請を出されても遅い。最高の仲間と出会った俺はこっちで最強を目指す！
n0229fv;【5月コミカライズ発売！】植物魔法チートでのんびり領主生活始めます～前世の知識を駆使して農業したら、逆転人生始まった件～ 
n1832fm;異世界で 上前はねて 生きていく （詠み人知らず） 〜再生魔法使いのゆるふわ人材派遣生活〜
n0709cd;灰色の勇者は人外道を歩み続ける
n3442fz;【WEB版】生き返った冒険者のクエスト攻略生活　自分だけがもらえるスキルポイントで他の誰より強くなる
n4045ed;最強職《竜騎士》から初級職《運び屋》になったのに、なぜか勇者達から頼られてます
n7798go;超難関ダンジョンで10万年修行した結果、世界最強に～最弱無能の下剋上～（旧最弱で迫害までされていたけど、超難関迷宮で10万年修行した結果、強くなりすぎて敵がいなくなった）
n2757gs;ダメスキル【自動機能】が覚醒しました〜あれ、ギルドのスカウトの皆さん、俺を「いらない」って言ってませんでした？
n6680gq;濁る瞳で何を願う　ハイセルク戦記
n9734bb;魔導師は平凡を望む
n1980en;領民0人スタートの辺境領主様
n3840bt;異世界魔法は遅れてる！
n7533gt;勇者パーティを追い出された器用貧乏～パーティ事情で付与術士をやっていた剣士、万能へと至る～【Web版】
n7463ho;【Web版】剣と魔法と学歴社会 〜前世ガリ勉だった俺は今世では風任せに生きる〜
n6789do;魔王様、リトライ！
n6621fl;昏き宮殿の死者の王【Web版】
n5214bb;クロの戦記　異世界転移した僕が最強なのはベッドの上だけのようです
n0891gg;【3巻8/2】嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。
n7942ff;学園騎士のレベルアップ！　〜　レベル1000超えの転生者、落ちこぼれクラスに入学。そして、
n2300gd;真の実力はギリギリまで隠していようと思う～無能と蔑まれていた野良神と契約した僕はちょっとだけ本気だす
n8251fq;転生したら悪役令嬢だったので引きニートになります
n2631gg;報われなかった村人A、貴族に拾われて溺愛される上に、実は持っていた伝説級の神スキルも覚醒した
n3125cg;異世界料理道
n1592db;最強呪族転生～チート魔術師のスローライフ～
n9275ei;召喚された賢者は異世界を往く　～最強なのは不要在庫のアイテムでした～
n4736dz;よくわからないけれど異世界に転生していたようです
n8213ez;俺はまだ、本気を出していない
n2713ev;外れスキル「影が薄い」を持つギルド職員が、実は伝説の暗殺者
n0423gu;【書籍化&コミカライズ】美人の姉が嫌がったのでどう見ても姿絵が白豚の次期伯爵に嫁ぎましたところ
n9693gs;異世界クラフトぐらし～自由気ままな生産職のほのぼのスローライフ～【WEB版】
n9551ee;おっさん冒険者ケインの善行
n2199ex;冒険者をクビになったので、錬金術師として出直します！　〜辺境開拓？　よし、俺に任せとけ！
n3245fy;主人公じゃない！
n1839bd;オーバーロード：後編
n5327hj;【書籍化】現代陰陽師は転生リードで無双する
n7983cw;ドロップ！！　～香りの令嬢物語～
n5135gg;お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について【第六巻　スニーカー文庫より12／28発売！】
n1996ed;精霊達の楽園と理想の異世界生活
n8562hc;【Web版】転生したら才能があった件　～異世界行っても努力する～【書籍・コミカライズ決定】
n8568fy;普通職の異世界スローライフ　～チート（があるくせに小者）な薬剤師の無双（しない）物語～
n9511dh;狼領主のお嬢様
n5782dy;ハズレ判定から始まったチート魔術士生活
n7251fq;俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件
n1244fr;【コミック6巻7/25発売】拝啓『氷の騎士とはずれ姫』だったわたしたちへ
n6169bb;悪役令嬢後宮物語
n1913hg;4/18日二巻発売【世界最強の執事】ブラック職場を追放された俺、氷の令嬢に拾われる　～生活魔法を駆使して無双していたら、幸せな暮らしが始まりました～
n1970fg;田中家、転生する。
n7941gh;真の聖女である私は追放されました。だからこの国はもう終わりです【書籍化】
n4214hb;【Web版】行き着く先は勇者か魔王か　元・廃プレイヤーが征く異世界攻略記
n3857gv;【コミックス２巻、好評発売中！】器用貧乏、城を建てる　～開拓学園の劣等生なのに、上級職のスキルと魔法がすべて使えます～
n3836gy;災悪のアヴァロン 【書籍3巻 5/19発売】
n9984fb;身体は児童、中身はおっさんの成り上がり冒険記
n3353fc;【修復】スキルが万能チート化したので、武器屋でも開こうかと思います
n7500bd;異世界チート魔術師（マジシャン）
n6062hq;【第1巻 5/25発売！】誰にも愛されなかった醜穢令嬢が幸せになるまで〜嫁ぎ先は暴虐公爵と聞いていたのですが、実は優しく誠実なお方で気がつくと溺愛されていました〜
n7411fd;育成スキルはもういらないと勇者パーティを解雇されたので、退職金がわりにもらった【領地】を強くしてみる 
n9158gn;【本編完結】辺境の錬金術師　～今更予算ゼロの職場に戻るとかもう無理～《コミックス発売！》 
n6464gi;【番外編】ふつつかな悪女ではございますがWeb版
n9925gz;【翻訳】の才能で俺だけが世界を改変できる件 〜ハズレ才能【翻訳】で気付けば世界最強になってました〜
n6811ck;その無限の先へ
n6406gp;断罪された悪役令嬢は、逆行して完璧な悪女を目指す（第五章完結）【書籍化、コミカライズ決定】
n6592hi;【第2部スタート】悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。（とはいえ、嫌われているのですが）
n9975de;淡海乃海　水面が揺れる時
n3511hb;煤まみれの騎士
n4933ew;最強タンクの迷宮攻略
n8517en;Free Life Fantasy Online ～人外姫様、始めました～
n7578ga;その門番、最強につき～追放された防御力9999の戦士、王都の門番として無双する～
n9736dt;リビルドワールド
n8287fp;追放悪役令嬢の旦那様【WEB版】
n5542gs;ゲーム世界転生〈ダン活〉～ゲーマーは【ダンジョン就活のススメ】を 〈はじめから〉プレイする～
n0112fi;モブ高生の俺でも冒険者になればリア充になれますか？
n3628ga;社畜ですが、種族進化して最強へと至ります
n8162cb;蘇りの魔王
n3655ho;破局予定の悪女のはずが、冷徹公爵様が別れてくれません！
n7797gn;宮廷テイマー、コストカットで追放されて自由を得たので未開拓領域に使い魔の楽園を作ることにする ～竜も馬も言うことを聞かなくなったから帰って来いと今更言われても……もうエルフと同盟を結んだので……～
n5911hs;【１巻発売】転生陰陽師・賀茂一樹 【漫画連載開始】
n5657el;転生したら乙女ゲーの世界？いえ、魔術を極めるのに忙しいのでそういうのは結構です。
n3420cm;傭兵団の料理番
n6022cs;再召喚された勇者は一般人として生きていく？
n2501fv;【WEB版】冰剣の魔術師が世界を統べる〜世界最強の魔術師である少年は、魔術学院に入学する〜
n7056hm;【WEB版】やり込んだ乙女ゲームの悪役モブですが、断罪は嫌なので真っ当に生きます【書籍大好評発売中＆コミカライズ進行中】
n0822cl;異世界支配のスキルテイカー　～　ゼロから始める奴隷ハーレム　～
n8109cq;婚約者は、私の妹に恋をする
n9511bs;男なら一国一城の主を目指さなきゃね
n3260fe;フシノカミ
n8836gp;宮廷鍛冶師の幸せな日常  ～ブラックな職場を追放されたが、隣国で公爵令嬢に溺愛されながらホワイトな生活送ります～
n2056dv;魔法世界の受付嬢になりたいです
n9798ei;戦国時代に宇宙要塞でやって来ました。
n8593hr;豚貴族は未来を切り開くようです　～二十年後の自分からの手紙が全てを教えてくれました。どうやら俺はこのままでは婚約破棄され、廃嫡され、完全に人生が詰むようです。なので必死にあがいてみようと思います～
n3032hc;【書籍化・コミカライズ】無自覚な天才少女は気付かない～あらゆる分野で努力しても家族が全く褒めてくれないので、家出して冒険者になりました～
n8399gu;【コミカライズ開始！】底辺冒険者だけど魔法を極めてみることにした　～無能スキルから神スキルに進化した【魔法創造】と【アイテム作成】で無双する～
n3215gp;【書籍2巻発売中】雑用付与術師が自分の最強に気付くまで 〜迷惑をかけないようにしてきましたが、追放されたので好きに生きることにしました～
n0383gq;俺だけ選び放題、Ｓ級レアアイテムも壊れスキルも覚醒した【シュレディンガーの猫】で思うがまま！　～冒険者の俺はレベルも金も稼いで幸せなので、追放してきた連中も自力で頑張ってくれ～
n7891ca;必勝ダンジョン運営方法　相手に合わせる理由がない
n6695bq;異世界転生に感謝を【本編完結】
n1784ee;神統記(テオゴニア)
n7361gs;最高難度迷宮でパーティに置き去りにされたSランク剣士、本当に迷いまくって誰も知らない最深部へ～俺の勘だとたぶんこっちが出口だと思う～
n7121fs;【洞窟王】からはじめる楽園ライフ～万能の採掘スキルで最強に!?～
n4006r;ラピスの心臓
n1619dr;クラスが異世界召喚されたなか俺だけ残ったんですが
n2376gk;【WEB版】追放魔術師のその後　～なんか、婚約破棄されて、追い出されたので、つらい貴族生活をやめて遠い異国の開拓村でのんびり生活することにしました～
n3448eb;社畜ダンジョンマスターの食堂経営  〜断じて史上最悪の魔王などでは無い！！〜
n1026ft;時使い魔術師の転生無双　～魔術学院の劣等生、実は最強の時間系魔術師でした～
n5077bk;異世界でもふもふなでなでするためにがんばってます。
n5256gk;【書籍化＆コミカライズ】勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。……なので大聖女、お前に追って来られては困るのだが？
n7707dt;暗殺者である俺のステータスが勇者よりも明らかに強いのだが
n9350eg;いいご身分だな。俺にくれよ。
n2665dw;勿論、慰謝料請求いたします！
n3398fz;【漫画１巻＆最終巻発売！】ブレイドスキル・オンライン　～ゴミ職業『サモナー』で最弱武器『弓使い』でクソステータス『幸運値極振り』の俺、いつのまにか『ラスボス』に成り上がります！～
n8366dn;カット＆ペーストでこの世界を生きていく
n3490ee;航宙軍士官、冒険者になる
n1405hb;生まれた直後に捨てられたけど、前世が大賢者だったので余裕で生きてます
n1720gr;ログアウトしたのはＶＲＭＭＯじゃなく本物の異世界でした ～現実に戻ってもステータスが壊れている件～
n6780gw;【５巻イラスト公開】バッドエンド目前のヒロインに転生した私、 今世では恋愛するつもりがチートな兄が離してくれません！？
n0160gd;占い師には花騎士の恋心が見えています
n8166ha;【書籍化】公爵家の料理番様　～３００年生きる小さな料理人～
n7981gj;俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです
n1932ia;地獄の沙汰も黄金次第　～会社をクビになったけど、錬金術とかいうチートスキルを手に入れたので人生一発逆転を目指します～
n3403fz;悪夢から目覚めた傲慢令嬢はやり直しを模索中
n1375hg;百合ゲー世界に、百合の間に挟まる男として転生してしまいました(書籍版：男子禁制ゲーム世界で俺がやるべき唯一のこと)
n2933fj;英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～
n2166fe;夢見る男子は現実主義者
n1930bw;ゲート・オブ・アミティリシア・オンライン
n2361gc;【書籍化決定！】家で無能と言われ続けた俺ですが、世界的には超有能だったようです
n9846ee;地味な剣聖はそれでも最強です
n3209fx;転生少女はまず一歩からはじめたい～魔物がいるとか聞いてない！～
n3961gd;幼馴染のS級パーティーから追放された聖獣使い。万能支援魔法と仲間を増やして最強へ！
n6316bn;転生したらスライムだった件
n9669bk;無職転生　- 異世界行ったら本気だす -
n7975cr;蜘蛛ですが、なにか？
n4830bu;本好きの下剋上　～司書になるためには手段を選んでいられません～
n9902bn;デスマーチからはじまる異世界狂想曲（ web版 ）
n8802bq;八男って、それはないでしょう！　
n3191eh;乙女ゲー世界はモブに厳しい世界です
n5378gc;限界超えの天賦《スキル》は、転生者にしか扱えない　ー　オーバーリミット・スキルホルダー
n1337cn;公爵令嬢の嗜み
n5040ce;乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…
n0174gy;【3/10書籍2巻発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方
n8697cx;聖者無双　～サラリーマン、異世界で生き残るために歩む道～
n4616go;真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！【書籍化・コミカライズ連載中】
n5691dd;即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。【TVアニメ化決定！】
n9806fw;現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に
n6970df;ライブダンジョン！
n4054by;進化の実～知らないうちに勝ち組人生～
n2224dv;レベル１だけどユニークスキルで最強です
n1576cu;人狼への転生、魔王の副官
n0821go;転生してハイエルフになりましたが、スローライフは１２０年で飽きました
n3722ev;【web版】ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。
n4712gk;【WEB版】王都の外れの錬金術師 ～ハズレ職業だったので、のんびりお店経営します～【書籍化、コミカライズ】
n3930eh;狼は眠らない
n6768bf;フェアリーテイル・クロニクル　～空気読まない異世界ライフ～
n2766dz;悪役令嬢なのでラスボスを飼ってみました
n7612ct;LV999の村人
n5947eg;冒険者になりたいと都に出て行った娘がＳランクになってた
n3148ex;世界最高の暗殺者、異世界貴族に転生する
n1542ga;世界最強の努力家　〜才能が【努力】だったので効率良く規格外の努力をしてみる〜
n9483ge;経験値貯蓄でのんびり傷心旅行　～勇者と恋人に追放された戦士の無自覚ざまぁ～
n7529gb;【書籍4巻発売中】元、落ちこぼれ公爵令嬢です。（WEB版）
n6266ci;骸骨騎士様、只今異世界へお出掛け中
n8356ga;サイレント・ウィッチ
n0074em;【web版】最強の魔導士。ひざに矢をうけてしまったので田舎の衛兵になる
n8937fs;最凶の支援職【話術士】である俺は世界最強クランを従える
n1247p;リアデイルの大地にて【Web版】
n7820go;俺にはこの暗がりが心地よかった
n5966bh;詰みかけ転生領主の改革（旧：詰みかけ転生領主の奮闘記）
n9863da;成長チートでなんでもできるようになったが、無職だけは辞められないようです
n1850ew;役立たずスキルに人生を注ぎ込み25年、今さら最強の冒険譚
n9985cb;境界迷宮と異界の魔術師
n4400gk;【web版】無口な公爵令嬢と冷徹な皇帝～前世拾った子供が皇帝になっていました～
n7120hp;【完結】滅亡国家のやり直し！今日から始める軍師生活。【8300万PV感謝！！】
n6251hf;メイドなら当然です。　-　濡れ衣を着せられた万能メイドさんは旅に出ることにしました
n6683ej;無職の英雄　～別にスキルなんか要らなかったんだが～
n1929hb;【書籍化・コミカライズ】三食昼寝付き生活を約束してください、公爵様
n4499cf;【書籍・漫画化】アルバート家の令嬢は没落をご所望です
n4237cd;ワールド・ティーチャー -異世界式教育エージェント-
n7308he;手札が多めのビクトリア〜元工作員は人生をやり直し中〜【書籍発売中・コミック連載中】
n4402bd;オーバーロード：前編
n1745ct;四度目は嫌な死属性魔術師
n8618ef;冒険家になろう！　スキルボードでダンジョン攻略(WEB版)
n5011bc;辺境の老騎士
n0264hi;小国の侯爵令嬢は敵国にて覚醒する 【書籍発売中・コミカライズ】
n3708fp;僕は婚約破棄なんてしませんからね
n9607gq;【完結】俺は冒険者ギルドの悪徳ギルドマスター～無駄な人材を適材適所に追放してるだけなのに、なぜかめちゃくちゃ感謝されている件「なに？今更ギルドに戻ってきたいだと？まだ早い、君はそこで頑張れるはずだ」
n5091gj;【WEB版】完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる【ノベルス４巻コミックス３巻3/25同時発売！】
n9981by;北の砦にて　新しい季節　～転生して、もふもふ子ギツネな雪の精霊になりました～
n8262bn;魔法使いの婚約者
n2945eg;アラフォー男の異世界通販生活
n9587ek;屋根裏部屋の公爵夫人
n9101fy;弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった
n5577es;婚約破棄から始まる悪役令嬢の監獄スローライフ【Web版】
n5380fm;【WEB版】転生したら１５歳の王妃でした　〜聖女のチートなんて興味がないし、気ままにおいしいごはんを作ります～
n3250cl;セブンス
n4890bm;勇者様のお師匠様
n5530cf;うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない 。
n7311ge;義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です
n2195gj;【書籍化＆コミカライズ】わたし、聖女じゃありませんから
